lat,lon,name
51.22111,4.39971,Antwerp
50.84674,4.35249,Brussels
48.8535,2.34839,Paris
40.41678,-3.70351,Madrid
52.51739,13.39513,Berlin
47.37445,8.54104,Zurich
41.89332,12.48293,Rome
38.70775,-9.13659,Lisbon
59.91333,10.73897,Oslo
48.20835,16.3725,Vienna
51.50745,-0.12777,London
-16.49555,-68.13362,La Paz
-17.40125,-66.16757,Cochabamba
28.46718,-16.25078,Santa Cruz
-21.58333,-63.83333,Tarija
10.4436,-61.26132,Trinidad
-17.70751,-65.21989,Qollpana
-20.46284,-66.82391,Uyuni
-19.04773,-65.25943,Sucre
9.86948,-83.79807,Santiago
-34.60956,-58.38879,Buenos Aires
-25.28005,-57.63438,Asuncion
-34.90589,-56.19131,Montevideo
-12.04598,-77.03059,Lima
-10.33333,-53.2,Brasilia
-0.22016,-78.51233,Quito
4.65338,-74.08363,Bogota
10.50609,-66.9146,Caracas
5.82418,-55.16628,Paramaribo
6.80326,-58.14554,Georgetown
4.93715,-52.32587,Cayenne
23.65851,-102.00771,Mexico
-23.55065,-46.63338,Sao Paulo
